\STAR_ID                                  = "HD 75898"
\DATA_CATEGORY                            = "Planet Radial Velocity Curve"
\NUMBER_OF_POINTS                         = "20"
\TIME_REFERENCE_FRAME                     = "JD"
\MINIMUM_DATE                             = "2453014.94581"
\DATE_UNITS                               = "days"
\MAXIMUM_DATE                             = "2454129.98648"
\MINIMUM_VALUE                            = "-89.70"
\VALUE_UNITS                              = "m/s"
\MAXIMUM_VALUE                            = "75.31"
\REFERENCE                                = "Robinson et al. 2007 (ApJ, 670, 1391)"
\BIBCODE                                  = "2007ApJ...670.1391R"
\TELESCOPE                                = "10m Keck I"
\INSTRUMENT                               = "HIRES"
\WAVELENGTH_CALIBRATION_TECHNIQUE         = "Iodine"
\OBSERVATORY_SITE                         = "Mauna Kea, Hawaii"
\COLUMN_JD                                = "Julian date of observation"
\COLUMN_RADIAL_VELOCITY                   = "Radial velocity relative to barycenter"
\COLUMN_RADIAL_VELOCITY_UNCERTAINTY       = "Uncertainty in RADIAL_VELOCITY"
|            JD | Radial_Velocity | Radial_Velocity_Uncertainty |
