\STAR_ID                                  = "OGLE-TR-10"
\DATA_CATEGORY                            = "Planet Radial Velocity Curve"
\NUMBER_OF_POINTS                         = "9"
\TIME_REFERENCE_FRAME                     = "HJD"
\MINIMUM_DATE                             = "2452481.7946"
\DATE_UNITS                               = "days"
\MAXIMUM_DATE                             = "2453209.7727"
\MINIMUM_VALUE                            = "-6380.00"
\VALUE_UNITS                              = "m/s"
\MAXIMUM_VALUE                            = "-6130.00"
\REFERENCE                                = "Konacki et al. 2005 (ApJ, 624, 372)"
\BIBCODE                                  = "2005ApJ...624..372K"
\TELESCOPE                                = "10m Keck I"
\INSTRUMENT                               = "HIRES"
\WAVELENGTH_CALIBRATION_TECHNIQUE         = "Iodine"
\OBSERVATORY_SITE                         = "Mauna Kea, Hawaii"
\COLUMN_RADIAL_VELOCITY                   = "Radial velocity relative to barycenter"
\COLUMN_RADIAL_VELOCITY_UNCERTAINTY       = "Uncertainty in RADIAL_VELOCITY"
|          HJD | Radial_Velocity | Radial_Velocity_Uncertainty |
|       double |          double |                      double |
