0,1,2,3,4,5,6
NaN,NaN,NaN,NaN,NaN,NaN,NaN
2454782.994757,148.559,46.621,NaN,NaN,NaN,NaN
2454783.998947,190.976,49.865,NaN,NaN,NaN,NaN
2454785.988623,434.982,46.387,NaN,NaN,NaN,NaN
2454840.912257,NaN,NaN,NaN,NaN,NaN,NaN
2455136.944329,22.392,25.326,NaN,NaN,NaN,NaN
2455137.954502,78.412,25.806,NaN,NaN,NaN,NaN
2455139.919444,158.836,28.225,NaN,NaN,NaN,NaN
2455140.978102,75.266,28.822,NaN,NaN,NaN,NaN
2455141.960509,14.756,23.229,NaN,NaN,NaN,NaN
2455193.864491,175.395,18.492,NaN,NaN,NaN,NaN
2455197.868519,-51.44,14.782,NaN,NaN,NaN,NaN
2455200.841852,NaN,NaN,NaN,NaN,NaN,NaN
2455201.922766,NaN,NaN,NaN,NaN,NaN,NaN
2455202.934016,NaN,NaN,NaN,NaN,NaN,NaN
2455223.750301,-203.092,30.024,NaN,NaN,NaN,NaN
2455259.78294,16.462,22.791,NaN,NaN,NaN,NaN
2455283.664352,205.499,20.679,NaN,NaN,NaN,NaN
2455284.651296,265.877,24.246,NaN,NaN,NaN,NaN
2455286.686539,220.979,19.46,NaN,NaN,NaN,NaN
2455312.624178,NaN,NaN,NaN,NaN,NaN,NaN
2455468.969664,-134.542,39.537,NaN,NaN,NaN,NaN
2455469.956586,-106.421,30.323,NaN,NaN,NaN,NaN
2455470.966435,-88.691,36.323,NaN,NaN,NaN,NaN
2455523.965231,-339.106,NaN,NaN,NaN,NaN,NaN
2455524.006713,-364.504,9.618,NaN,NaN,NaN,NaN
2455550.791759,-153.391,14.458,NaN,NaN,NaN,NaN
2455557.925394,-567.205,15.806,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN
