0,1,2,3,4,5,6
NaN,NaN,NaN,NaN,NaN,NaN,NaN
2454927.821296,98.185,60.204,NaN,NaN,NaN,NaN
2454928.847269,45.786,72.672,NaN,NaN,NaN,NaN
2454964.767303,-223.533,67.881,NaN,NaN,NaN,NaN
2454965.776609,-285.237,65.383,NaN,NaN,NaN,NaN
2454994.697222,-70.507,68.017,NaN,NaN,NaN,NaN
2455193.909549,-154.231,60.385,NaN,NaN,NaN,NaN
2455197.964051,-181.832,41.18,NaN,NaN,NaN,NaN
2455198.944988,-101.925,42.553,NaN,NaN,NaN,NaN
2455199.962164,-306.519,51.087,NaN,NaN,NaN,NaN
2455200.986053,-279.551,33.538,NaN,NaN,NaN,NaN
2455201.97412,-296.28,44.619,NaN,NaN,NaN,NaN
2455202.987095,-113.53,34.792,NaN,NaN,NaN,NaN
2455258.877917,-17.101,NaN,NaN,NaN,NaN,NaN
2455259.826389,45.341,37.421,NaN,NaN,NaN,NaN
2455260.819352,28.847,47.322,NaN,NaN,NaN,NaN
2455261.815752,67.647,34.88,NaN,NaN,NaN,NaN
2455280.771794,295.556,39.545,NaN,NaN,NaN,NaN
2455281.76441,268.761,48.045,NaN,NaN,NaN,NaN
2455283.810914,115.084,60.533,NaN,NaN,NaN,NaN
2455284.746667,169.16,42.391,NaN,NaN,NaN,NaN
2455311.682106,NaN,NaN,NaN,NaN,NaN,NaN
2455313.623958,106.626,56.443,NaN,NaN,NaN,NaN
2455369.646829,NaN,NaN,NaN,NaN,NaN,NaN
2455551.991597,115.364,65.414,NaN,NaN,NaN,NaN
2455552.979711,88.928,55.5,NaN,NaN,NaN,NaN
2455553.983032,201.062,73.796,NaN,NaN,NaN,NaN
2455556.968831,174.822,53.334,NaN,NaN,NaN,NaN
2455557.971782,209.078,51.615,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN
