0,1,2,3,4,5,6
NaN,NaN,NaN,NaN,NaN,NaN,NaN
2454956.820637,-32.304,88.751,NaN,NaN,NaN,NaN
2454957.857836,-121.192,56.332,NaN,NaN,NaN,NaN
2454990.89603,NaN,NaN,NaN,NaN,NaN,NaN
2455102.740347,40.533,NaN,NaN,NaN,NaN,NaN
2455104.718669,54.271,39.023,NaN,NaN,NaN,NaN
2455131.669931,-64.302,60.032,NaN,NaN,NaN,NaN
2455136.673542,NaN,NaN,NaN,NaN,NaN,NaN
2455312.939583,12.747,51.65,NaN,NaN,NaN,NaN
2455339.784479,3.016,87.693,NaN,NaN,NaN,NaN
2455340.782269,15.495,113.19,NaN,NaN,NaN,NaN
2455341.777928,35.883,69.71,NaN,NaN,NaN,NaN
2455345.869259,-38.17,62.815,NaN,NaN,NaN,NaN
2455346.93603,-65.782,49.144,NaN,NaN,NaN,NaN
2455347.916944,-38.789,48.837,NaN,NaN,NaN,NaN
2455368.758426,84.123,38.717,NaN,NaN,NaN,NaN
2455369.756586,38.468,63.179,NaN,NaN,NaN,NaN
2455372.906493,-54.216,46.089,NaN,NaN,NaN,NaN
2455483.697546,130.218,33.879,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN
