0,1,2,3,4,5,6
NaN,NaN,NaN,NaN,NaN,NaN,NaN
2454805.791863,-5.121,25.376,NaN,NaN,NaN,NaN
2454807.70066,24.446,25.195,NaN,NaN,NaN,NaN
2454866.581111,8.917,32.024,NaN,NaN,NaN,NaN
2454867.604097,58.897,34.557,NaN,NaN,NaN,NaN
2455163.699907,6.327,22.734,NaN,NaN,NaN,NaN
2455197.724468,NaN,NaN,NaN,NaN,NaN,NaN
2455468.878565,39.642,NaN,NaN,NaN,NaN,NaN
2455469.869896,18.883,8.778,NaN,NaN,NaN,NaN
2455497.922454,-71.41,19.2,NaN,NaN,NaN,NaN
2455498.896551,-47.675,15.346,NaN,NaN,NaN,NaN
2455514.719919,-32.906,22.962,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN
