0,1,2,3,4,5,6
NaN,NaN,NaN,NaN,NaN,NaN,NaN
2454901.948889,-22.987,59.005,NaN,NaN,NaN,NaN
2454902.949583,NaN,NaN,NaN,NaN,NaN,NaN
2454905.957824,NaN,NaN,NaN,NaN,NaN,NaN
2454906.926551,NaN,NaN,NaN,NaN,NaN,NaN
2454907.918171,NaN,NaN,NaN,NaN,NaN,NaN
2454926.903426,NaN,NaN,NaN,NaN,NaN,NaN
2454927.908391,NaN,NaN,NaN,NaN,NaN,NaN
2454983.751771,-126.157,29.479,NaN,NaN,NaN,NaN
2454984.744155,23.683,NaN,NaN,NaN,NaN,NaN
2455014.649456,-8.927,32.526,NaN,NaN,NaN,NaN
2455023.653333,-20.873,31.422,NaN,NaN,NaN,NaN
2455024.653067,130.048,30.54,NaN,NaN,NaN,NaN
2455222.917106,-9.424,64.263,NaN,NaN,NaN,NaN
2455223.907037,-94.747,75.125,NaN,NaN,NaN,NaN
2455254.910266,-4.05,61.249,NaN,NaN,NaN,NaN
2455258.921458,-15.21,63.54,NaN,NaN,NaN,NaN
2455259.910312,-33.998,56.528,NaN,NaN,NaN,NaN
2455260.900347,55.375,73.66,NaN,NaN,NaN,NaN
2455261.955741,-68.649,79.484,NaN,NaN,NaN,NaN
2455280.863611,-49.403,83.006,NaN,NaN,NaN,NaN
2455289.767384,51.541,63.443,NaN,NaN,NaN,NaN
2455312.666562,185.771,70.511,NaN,NaN,NaN,NaN
2455349.824271,8.005,68.642,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN
