0,1,2,3,4,5,6
NaN,NaN,NaN,NaN,NaN,NaN,NaN
2454782.994757,259.235,40.431,NaN,NaN,NaN,NaN
2454783.998947,383.605,44.049,NaN,NaN,NaN,NaN
2454785.988623,588.87,46.086,NaN,NaN,NaN,NaN
2454840.912257,NaN,NaN,NaN,NaN,NaN,NaN
2455136.944329,-18.79,21.869,NaN,NaN,NaN,NaN
2455137.954502,42.547,23.885,NaN,NaN,NaN,NaN
2455139.919444,139.099,24.878,NaN,NaN,NaN,NaN
2455140.978102,72.685,27.433,NaN,NaN,NaN,NaN
2455141.960509,-15.7,23.73,NaN,NaN,NaN,NaN
2455193.864491,39.885,17.009,NaN,NaN,NaN,NaN
2455197.868519,-132.382,24.666,NaN,NaN,NaN,NaN
2455200.841852,NaN,NaN,NaN,NaN,NaN,NaN
2455201.922766,NaN,NaN,NaN,NaN,NaN,NaN
2455202.934016,NaN,NaN,NaN,NaN,NaN,NaN
2455223.750301,-165.64,36.125,NaN,NaN,NaN,NaN
2455259.78294,7.703,30.793,NaN,NaN,NaN,NaN
2455283.664352,169.664,20.715,NaN,NaN,NaN,NaN
2455284.651296,237.384,23.385,NaN,NaN,NaN,NaN
2455286.686539,216.536,19.027,NaN,NaN,NaN,NaN
2455312.624178,NaN,NaN,NaN,NaN,NaN,NaN
2455468.969664,-136.224,27.471,NaN,NaN,NaN,NaN
2455469.956586,-141.659,22.938,NaN,NaN,NaN,NaN
2455470.966435,-123.381,23.215,NaN,NaN,NaN,NaN
2455523.965231,-359.165,NaN,NaN,NaN,NaN,NaN
2455524.006713,-393.449,6.92,NaN,NaN,NaN,NaN
2455550.791759,-141.615,13.731,NaN,NaN,NaN,NaN
2455557.925394,-529.21,16.255,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN
