0,1,2,3,4,5,6
NaN,NaN,NaN,NaN,NaN,NaN,NaN
2454777.601146,-15.742,126.922,NaN,NaN,NaN,NaN
2454778.559537,243.997,109.723,NaN,NaN,NaN,NaN
2454779.560637,-126.849,95.562,NaN,NaN,NaN,NaN
2454783.720694,-207.787,107.35,NaN,NaN,NaN,NaN
2454785.75875,77.631,126.414,NaN,NaN,NaN,NaN
2454786.72,65.199,117.272,NaN,NaN,NaN,NaN
2454788.773634,175.908,165.401,NaN,NaN,NaN,NaN
2454807.622002,4.659,100.974,NaN,NaN,NaN,NaN
2454811.644387,41.306,104.372,NaN,NaN,NaN,NaN
2454812.634167,-114.165,94.294,NaN,NaN,NaN,NaN
2454836.559063,NaN,NaN,NaN,NaN,NaN,NaN
2454839.658866,71.114,118.368,NaN,NaN,NaN,NaN
2454840.656262,28.883,132.778,NaN,NaN,NaN,NaN
2454843.628519,NaN,NaN,NaN,NaN,NaN,NaN
2454844.655336,NaN,NaN,NaN,NaN,NaN,NaN
2455020.933843,51.263,101.616,NaN,NaN,NaN,NaN
2455021.943947,-211.394,75.779,NaN,NaN,NaN,NaN
2455022.952373,83.353,83.912,NaN,NaN,NaN,NaN
2455023.923681,79.549,105.214,NaN,NaN,NaN,NaN
2455024.929132,-238.688,100.43,NaN,NaN,NaN,NaN
2455025.932627,32.116,118.436,NaN,NaN,NaN,NaN
2455106.894329,7.894,NaN,NaN,NaN,NaN,NaN
2455116.933843,-33.068,65.342,NaN,NaN,NaN,NaN
2455131.745428,142.724,99.138,NaN,NaN,NaN,NaN
2455515.687743,4.6,102.795,NaN,NaN,NaN,NaN
2455523.687836,-220.625,149.633,NaN,NaN,NaN,NaN
2455524.816933,128.147,135.021,NaN,NaN,NaN,NaN
2455543.640336,-70.024,139.055,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN
