0,1,2,3,4,5,6
NaN,NaN,NaN,NaN,NaN,NaN,NaN
2454777.601146,-169.171,136.567,NaN,NaN,NaN,NaN
2454778.559537,179.435,111.771,NaN,NaN,NaN,NaN
2454779.560637,37.726,97.028,NaN,NaN,NaN,NaN
2454783.720694,148.635,78.952,NaN,NaN,NaN,NaN
2454785.75875,-134.898,119.705,NaN,NaN,NaN,NaN
2454786.72,84.356,133.453,NaN,NaN,NaN,NaN
2454788.773634,11.7,182.134,NaN,NaN,NaN,NaN
2454807.622002,-51.51,68.746,NaN,NaN,NaN,NaN
2454811.644387,91.08,74.681,NaN,NaN,NaN,NaN
2454812.634167,-91.725,96.088,NaN,NaN,NaN,NaN
2454836.559063,NaN,NaN,NaN,NaN,NaN,NaN
2454839.658866,-157.518,100.991,NaN,NaN,NaN,NaN
2454840.656262,NaN,NaN,NaN,NaN,NaN,NaN
2454843.628519,NaN,NaN,NaN,NaN,NaN,NaN
2454844.655336,NaN,NaN,NaN,NaN,NaN,NaN
2455020.933843,149.686,73.863,NaN,NaN,NaN,NaN
2455021.943947,-53.648,47.545,NaN,NaN,NaN,NaN
2455022.952373,17.317,68.827,NaN,NaN,NaN,NaN
2455023.923681,-99.305,80.312,NaN,NaN,NaN,NaN
2455024.929132,-178.296,106.925,NaN,NaN,NaN,NaN
2455025.932627,129.937,79.629,NaN,NaN,NaN,NaN
2455106.894329,-39.353,NaN,NaN,NaN,NaN,NaN
2455116.933843,-38.259,62.355,NaN,NaN,NaN,NaN
2455131.745428,221.745,90.486,NaN,NaN,NaN,NaN
2455515.687743,-59.223,90.815,NaN,NaN,NaN,NaN
2455523.687836,-124.045,144.614,NaN,NaN,NaN,NaN
2455524.816933,24.601,132.446,NaN,NaN,NaN,NaN
2455543.640336,100.732,130.44,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN
