0,1,2,3,4,5,6
NaN,NaN,NaN,NaN,NaN,NaN,NaN
2454778.84169,-55.319,55.52,NaN,NaN,NaN,NaN
2454811.766007,-88.271,51.702,NaN,NaN,NaN,NaN
2454816.864433,-104.293,51.523,NaN,NaN,NaN,NaN
2454845.728125,69.197,74.612,NaN,NaN,NaN,NaN
2454869.742037,102.834,58.118,NaN,NaN,NaN,NaN
2454901.605637,87.711,55.547,NaN,NaN,NaN,NaN
2455135.771782,NaN,NaN,NaN,NaN,NaN,NaN
2455136.736412,NaN,NaN,NaN,NaN,NaN,NaN
2455138.785683,NaN,NaN,NaN,NaN,NaN,NaN
2455158.709502,NaN,NaN,NaN,NaN,NaN,NaN
2455159.700544,NaN,NaN,NaN,NaN,NaN,NaN
2455160.751366,NaN,NaN,NaN,NaN,NaN,NaN
2455161.707141,20.69,30.157,NaN,NaN,NaN,NaN
2455162.726042,143.663,41.535,NaN,NaN,NaN,NaN
2455192.689734,-26.555,45.949,NaN,NaN,NaN,NaN
2455199.754884,48.505,46.125,NaN,NaN,NaN,NaN
2455201.720972,-67.382,NaN,NaN,NaN,NaN,NaN
2455202.783345,-11.288,27.004,NaN,NaN,NaN,NaN
2455280.610347,-5.351,48.016,NaN,NaN,NaN,NaN
2455284.607523,NaN,NaN,NaN,NaN,NaN,NaN
2455463.864306,13.658,72.825,NaN,NaN,NaN,NaN
2455489.746667,45.189,69.876,NaN,NaN,NaN,NaN
2455489.787257,-126.234,70.458,NaN,NaN,NaN,NaN
2455500.947361,-87.598,61.031,NaN,NaN,NaN,NaN
2455542.684039,-39.373,76.761,NaN,NaN,NaN,NaN
2455543.683889,-41.652,62.738,NaN,NaN,NaN,NaN
2455544.700046,12.722,87.364,NaN,NaN,NaN,NaN
2455545.734688,18.2,46.654,NaN,NaN,NaN,NaN
2455556.882812,90.947,55.851,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN
