0,1,2,3,4,5,6
NaN,NaN,NaN,NaN,NaN,NaN,NaN
2454956.914896,NaN,NaN,NaN,NaN,NaN,NaN
2454957.945405,NaN,NaN,NaN,NaN,NaN,NaN
2454958.911319,NaN,NaN,NaN,NaN,NaN,NaN
2454959.925938,119.387,110.713,NaN,NaN,NaN,NaN
2454962.922836,-81.499,178.034,NaN,NaN,NaN,NaN
2454963.888808,-49.563,139.915,NaN,NaN,NaN,NaN
2454965.908669,-3.738,110.41,NaN,NaN,NaN,NaN
2454984.833947,-41.545,79.51,NaN,NaN,NaN,NaN
2454986.890197,-68.958,90.409,NaN,NaN,NaN,NaN
2454988.903252,20.16,92.803,NaN,NaN,NaN,NaN
2454990.79772,-27.062,142.143,NaN,NaN,NaN,NaN
2454993.802292,-24.516,80.354,NaN,NaN,NaN,NaN
2454994.791539,-17.581,94.983,NaN,NaN,NaN,NaN
2454995.895799,29.364,97.693,NaN,NaN,NaN,NaN
2455014.80037,2.157,108.136,NaN,NaN,NaN,NaN
2455020.842685,27.11,87.046,NaN,NaN,NaN,NaN
2455021.848449,-0.788,118.866,NaN,NaN,NaN,NaN
2455023.833229,82.015,115.859,NaN,NaN,NaN,NaN
2455024.785949,-80.939,112.504,NaN,NaN,NaN,NaN
2455484.613032,115.995,NaN,NaN,NaN,NaN,NaN
2455521.551042,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN
