0,1,2,3,4,5,6
NaN,NaN,NaN,NaN,NaN,NaN,NaN
2454840.961655,10490.239,30.828,NaN,NaN,NaN,NaN
2454842.99963,12453.832,30.863,NaN,NaN,NaN,NaN
2454844.924213,13986.583,20.507,NaN,NaN,NaN,NaN
2454846.909907,15074.527,NaN,NaN,NaN,NaN,NaN
2454847.90463,15220.143,16.5,NaN,NaN,NaN,NaN
2454867.766759,-3795.148,115.231,NaN,NaN,NaN,NaN
2454902.731134,-3716.521,127.303,NaN,NaN,NaN,NaN
2454903.747639,-3772.559,142.246,NaN,NaN,NaN,NaN
2454927.682535,NaN,NaN,NaN,NaN,NaN,NaN
2454928.660891,NaN,NaN,NaN,NaN,NaN,NaN
2454929.670845,NaN,NaN,NaN,NaN,NaN,NaN
2454957.655845,-3652.625,122.513,NaN,NaN,NaN,NaN
2455113.961806,NaN,NaN,NaN,NaN,NaN,NaN
2455141.915197,-3648.358,128.71,NaN,NaN,NaN,NaN
2455143.94669,-3723.856,135.946,NaN,NaN,NaN,NaN
2455144.941725,-3938.672,134.789,NaN,NaN,NaN,NaN
2455145.948553,-3741.653,141.857,NaN,NaN,NaN,NaN
2455163.83919,-3730.888,135.568,NaN,NaN,NaN,NaN
2455193.817303,NaN,NaN,NaN,NaN,NaN,NaN
2455197.820891,NaN,NaN,NaN,NaN,NaN,NaN
2455199.892292,-3759.975,127.5,NaN,NaN,NaN,NaN
2455200.790197,-3708.37,136.411,NaN,NaN,NaN,NaN
2455227.74125,-3597.144,131.918,NaN,NaN,NaN,NaN
2455258.835451,-3676.045,130.844,NaN,NaN,NaN,NaN
2455280.71037,-3775.553,124.08,NaN,NaN,NaN,NaN
2455283.748148,-3911.131,152.174,NaN,NaN,NaN,NaN
2455287.72603,-3720.749,177.672,NaN,NaN,NaN,NaN
2455523.871343,-3827.312,153.568,NaN,NaN,NaN,NaN
2455526.860833,NaN,NaN,NaN,NaN,NaN,NaN
2455527.892627,-3528.77,117.951,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN
