0,1,2,3,4,5,6
NaN,NaN,NaN,NaN,NaN,NaN,NaN
2454778.84169,-42.571,48.313,NaN,NaN,NaN,NaN
2454811.766007,-62.895,41.075,NaN,NaN,NaN,NaN
2454816.864433,-243.946,37.192,NaN,NaN,NaN,NaN
2454845.728125,-55.805,62.35,NaN,NaN,NaN,NaN
2454869.742037,-40.661,61.597,NaN,NaN,NaN,NaN
2454901.605637,-182.651,49.613,NaN,NaN,NaN,NaN
2455135.771782,NaN,NaN,NaN,NaN,NaN,NaN
2455136.736412,NaN,NaN,NaN,NaN,NaN,NaN
2455138.785683,NaN,NaN,NaN,NaN,NaN,NaN
2455158.709502,NaN,NaN,NaN,NaN,NaN,NaN
2455159.700544,NaN,NaN,NaN,NaN,NaN,NaN
2455160.751366,NaN,NaN,NaN,NaN,NaN,NaN
2455161.707141,91.786,40.964,NaN,NaN,NaN,NaN
2455162.726042,62.754,46.296,NaN,NaN,NaN,NaN
2455192.689734,-181.294,43.098,NaN,NaN,NaN,NaN
2455199.754884,213.228,47.599,NaN,NaN,NaN,NaN
2455201.720972,-8.502,NaN,NaN,NaN,NaN,NaN
2455202.783345,52.59,33.88,NaN,NaN,NaN,NaN
2455280.610347,132.394,39.343,NaN,NaN,NaN,NaN
2455284.607523,NaN,NaN,NaN,NaN,NaN,NaN
2455463.864306,31.147,60.474,NaN,NaN,NaN,NaN
2455489.746667,-205.439,56.648,NaN,NaN,NaN,NaN
2455489.787257,-4.102,45.796,NaN,NaN,NaN,NaN
2455500.947361,128.276,59.333,NaN,NaN,NaN,NaN
2455542.684039,40.232,63.669,NaN,NaN,NaN,NaN
2455543.683889,169.415,54.725,NaN,NaN,NaN,NaN
2455544.700046,-53.897,99.117,NaN,NaN,NaN,NaN
2455545.734688,96.05,68.885,NaN,NaN,NaN,NaN
2455556.882812,63.891,47.679,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN
